entry_time,direction,risk_ratio,entry_price,take_profit,stop_loss,exit_time,exit_price,result,pnl
2025-05-16 23:30:00+08:00,BUY,5,103807.1,105525.7785714286,103463.36428571428,2025-05-17 05:30:00+08:00,103463.36428571428,stop_loss,-0.33%
2025-05-17 02:00:00+08:00,SELL,2,103820.1,102987.11428571428,104236.59285714287,2025-05-17 09:00:00+08:00,102987.11428571428,take_profit,0.81%
2025-05-17 04:00:00+08:00,BUY,2,103974.3,104849.94285714286,103536.47857142857,2025-05-17 04:30:00+08:00,103536.47857142857,stop_loss,-0.42%
2025-05-17 20:00:00+08:00,BUY,2,102944.2,103465.22857142857,102683.68571428572,2025-05-17 21:30:00+08:00,102683.68571428572,stop_loss,-0.25%
2025-05-18 11:30:00+08:00,SELL,2,103089.0,102652.85714285714,103307.07142857143,2025-05-18 12:30:00+08:00,103307.07142857143,stop_loss,-0.21%
2025-05-18 20:00:00+08:00,SELL,2,103769.0,103393.67142857143,103956.66428571429,2025-05-18 21:30:00+08:00,103956.66428571429,stop_loss,-0.18%
2025-05-20 11:00:00+08:00,SELL,2,106060.0,105050.62857142858,106564.68571428572,2025-05-20 15:30:00+08:00,105050.62857142858,take_profit,0.96%
2025-05-20 20:30:00+08:00,SELL,2,104769.1,104059.14285714286,105124.07857142857,2025-05-20 23:30:00+08:00,105124.07857142857,stop_loss,-0.34%
2025-05-20 22:30:00+08:00,BUY,2,104641.3,105321.38571428572,104301.25714285714,2025-05-20 23:30:00+08:00,105321.38571428572,take_profit,0.65%
2025-05-21 03:30:00+08:00,BUY,2,106267.0,107402.41428571429,105699.29285714285,2025-05-21 12:30:00+08:00,107402.41428571429,take_profit,1.07%
2025-05-21 10:00:00+08:00,SELL,2,106440.2,105030.95714285714,107144.82142857142,2025-05-21 12:30:00+08:00,107144.82142857142,stop_loss,-0.66%
2025-05-21 13:00:00+08:00,BUY,2,107247.4,108282.61428571428,106729.79285714285,2025-05-21 15:00:00+08:00,106729.79285714285,stop_loss,-0.48%
2025-05-21 22:00:00+08:00,BUY,2,107208.3,108132.09999999999,106746.40000000001,2025-05-21 22:30:00+08:00,108132.09999999999,take_profit,0.86%
2025-05-22 01:30:00+08:00,SELL,2,106923.9,105244.09999999999,107763.79999999999,2025-05-22 03:30:00+08:00,107763.79999999999,stop_loss,-0.78%
2025-05-22 20:00:00+08:00,BUY,2,110944.1,111908.32857142859,110461.98571428572,2025-05-23 01:00:00+08:00,111908.32857142859,take_profit,0.87%
2025-05-23 11:00:00+08:00,SELL,2,111213.9,110468.59999999999,111586.54999999999,2025-05-23 14:00:00+08:00,110468.59999999999,take_profit,0.67%
2025-05-23 18:30:00+08:00,SELL,2,110944.5,110314.61428571428,111259.44285714286,2025-05-23 19:30:00+08:00,110314.61428571428,take_profit,0.57%
2025-05-24 13:30:00+08:00,SELL,2,108313.5,107386.94285714286,108776.77857142857,2025-05-24 18:30:00+08:00,108776.77857142857,stop_loss,-0.43%
2025-05-25 01:00:00+08:00,BUY,2,108959.7,109744.15714285713,108567.47142857143,2025-05-25 05:00:00+08:00,108567.47142857143,stop_loss,-0.36%
2025-05-25 13:00:00+08:00,BUY,2,108196.2,109141.57142857142,107723.51428571428,2025-05-25 14:30:00+08:00,107723.51428571428,stop_loss,-0.44%
2025-05-26 06:30:00+08:00,BUY,2,108283.1,109143.98571428572,107852.65714285715,2025-05-26 06:30:00+08:00,109143.98571428572,take_profit,0.8%
2025-05-27 00:30:00+08:00,SELL,2,109289.9,108509.31428571428,109680.19285714286,2025-05-27 06:00:00+08:00,109680.19285714286,stop_loss,-0.36%
2025-05-27 07:00:00+08:00,SELL,2,109143.8,108149.8,109640.8,2025-05-27 09:00:00+08:00,108149.8,take_profit,0.92%
2025-05-30 08:30:00+08:00,BUY,2,106018.7,106994.31428571428,105530.89285714286,2025-05-30 08:30:00+08:00,105530.89285714286,stop_loss,-0.46%
2025-05-31 05:00:00+08:00,BUY,2,104544.9,105597.8857142857,104018.40714285713,2025-05-31 06:30:00+08:00,104018.40714285713,stop_loss,-0.5%
2025-06-01 02:30:00+08:00,BUY,2,104482.8,105084.74285714286,104181.82857142857,2025-06-01 09:30:00+08:00,104181.82857142857,stop_loss,-0.29%
2025-06-01 17:30:00+08:00,SELL,2,103987.7,103550.5,104206.3,2025-06-01 21:00:00+08:00,104206.3,stop_loss,-0.21%
2025-06-01 21:30:00+08:00,BUY,2,104140.0,104593.9857142857,103913.00714285714,2025-06-01 22:00:00+08:00,104593.9857142857,take_profit,0.44%
2025-06-03 10:30:00+08:00,SELL,2,106015.5,105176.4857142857,106435.00714285714,2025-06-03 12:30:00+08:00,105176.4857142857,take_profit,0.8%
2025-06-04 03:00:00+08:00,BUY,2,105959.9,106842.61428571428,105518.54285714285,2025-06-04 04:30:00+08:00,105518.54285714285,stop_loss,-0.42%
2025-06-04 18:00:00+08:00,BUY,2,105783.4,106200.05714285714,105575.07142857142,2025-06-04 19:00:00+08:00,105575.07142857142,stop_loss,-0.2%
2025-06-05 10:00:00+08:00,SELL,2,104732.9,104215.1857142857,104991.75714285714,2025-06-05 10:30:00+08:00,104991.75714285714,stop_loss,-0.25%
2025-06-05 13:30:00+08:00,SELL,2,104863.0,104416.42857142857,105086.28571428571,2025-06-05 14:30:00+08:00,104416.42857142857,take_profit,0.43%
2025-06-05 22:00:00+08:00,SELL,2,104475.3,103785.17142857144,104820.36428571428,2025-06-05 22:30:00+08:00,104820.36428571428,stop_loss,-0.33%
